EVTERM;Start
15.01.2021;4368.474976
08.02.2021;4369.341642
22.04.2021;4376.091642
11.02.2021;4382.678309
20.01.2021;4388.678309
19.01.2021;4394.428309
05.01.2021;4395.753309
09.02.2021;4398.178309
06.01.2021;4399.261642
12.03.2021;4401.511642
10.02.2021;4402.344976
25.03.2021;4405.344976
29.01.2021;4406.261642
20.01.2021;4408.511642
13.04.2021;4414.094976
11.02.2021;4417.080392
27.01.2021;4428.055392
21.04.2021;4439.030392
07.04.2021;4441.455392
03.02.2021;4444.205392
22.03.2021;4446.955392
10.02.2021;4447.505392
05.02.2021;4450.255392
03.02.2021;4450.905392
08.02.2021;4451.438726
02.02.2021;4452.501226
27.01.2021;4453.034559
05.07.2021;4456.579559
10.02.2021;4457.156226
15.02.2021;4460.622892
16.06.2021;4462.122892
06.04.2021;4463.252059
06.04.2021;4465.510392
11.02.2021;4466.677059
17.02.2021;4467.827059
07.04.2021;4468.360392
17.02.2021;4469.770392
09.03.2021;4470.323059
18.02.2021;4475.489726
16.02.2021;4480.656392
24.02.2021;4486.656392
17.02.2021;4490.731392
17.02.2021;4491.426392
09.03.2021;4492.343059
17.02.2021;4493.493059
11.03.2021;4506.368726
22.04.2021;4522.025809
09.03.2021;4534.901476
29.04.2021;4550.558559
27.04.2021;4563.434226
17.06.2021;4579.091309
25.02.2021;4580.041309
26.04.2021;4580.641309
12.03.2021;4582.724642
09.03.2021;4584.982976
05.03.2021;4586.132976
07.04.2021;4586.666309
05.03.2021;4587.816309
06.04.2021;4588.349642
24.02.2021;4593.516309
26.02.2021;4595.849642
25.03.2021;4602.099642
25.02.2021;4602.966309
25.02.2021;4604.199642
26.02.2021;4605.899642
26.02.2021;4606.532976
26.02.2021;4607.132976
09.03.2021;4615.132976
23.03.2021;4616.282976
07.04.2021;4616.816309
02.03.2021;4617.916309
06.04.2021;4618.327976
07.04.2021;4619.763809
06.04.2021;4619.763809
06.09.2021;4619.763809
10.03.2021;4620.437059
05.03.2021;4621.437059
05.03.2021;4622.587059
19.03.2021;4623.503726
15.03.2021;4625.070392
26.03.2021;4626.395392
22.03.2021;4632.062059
15.03.2021;4633.478726
26.03.2021;4634.803726
22.03.2021;4641.220392
23.03.2021;4643.626892
03.03.2021;4655.126892
09.04.2021;4657.126892
22.03.2021;4666.460226
23.03.2021;4670.626892
22.03.2021;4671.226892
26.03.2021;4677.813559
31.03.2021;4683.563559
07.04.2021;4689.063559
22.03.2021;4689.663559
07.04.2021;4690.241892
07.04.2021;4690.831892
22.03.2021;4693.915226
13.04.2021;4695.331892
22.03.2021;4698.831892
03.05.2021;4701.581892
13.07.2021;4705.126892
06.04.2021;4706.743559
26.04.2021;4719.619226
14.06.2021;4735.276309
13.04.2021;4748.151976
30.04.2021;4763.809059
22.04.2021;4769.809059
12.04.2021;4771.425726
26.04.2021;4773.170726
19.04.2021;4775.420726
07.04.2021;4776.370726
14.04.2021;4778.658226
20.04.2021;4786.491559
21.04.2021;4793.741559
26.04.2021;4794.341559
20.04.2021;4802.841559
16.04.2021;4806.841559
20.04.2021;4810.841559
27.04.2021;4811.758226
05.05.2021;4816.924892
28.04.2021;4817.424892
04.05.2021;4820.508226
28.07.2021;4821.316559
28.07.2021;4822.933226
21.05.2021;4825.324226
12.05.2021;4826.374226
21.05.2021;4829.124226
12.05.2021;4832.624226
27.05.2021;4841.280072
10.06.2021;4855.897656
01.06.2021;4868.085456
22.06.2021;4891.461056
16.06.2021;4905.853256
20.09.2021;4933.637656
20.05.2021;4934.470989
27.05.2021;4935.004322
12.05.2021;4936.308489
12.05.2021;4937.033489
18.05.2021;4937.583489
28.05.2021;4946.821456
01.07.2021;4962.478539
17.06.2021;4971.716506
26.07.2021;4987.373589
18.06.2021;4996.611556
13.07.2021;5012.268639
21.06.2021;5021.506606
07.07.2021;5037.163689
22.06.2021;5046.401656
09.07.2021;5062.058739
02.07.2021;5076.450939
02.09.2021;5104.235339
15.09.2021;5118.627539
25.11.2021;5146.411939
17.05.2021;5147.728689
17.05.2021;5148.878689
06.05.2021;5150.678689
12.05.2021;5158.678689
27.04.2021;5161.366189
12.05.2021;5163.516189
18.05.2021;5164.432856
28.04.2021;5169.249522
29.04.2021;5172.089522
17.05.2021;5173.006189
20.05.2021;5173.672856
06.05.2021;5174.839522
18.05.2021;5182.839522
05.05.2021;5189.389522
22.05.2021;5190.036522
20.05.2021;5190.569856
11.05.2021;5196.582356
11.05.2021;5199.649022
26.05.2021;5204.315689
06.05.2021;5211.565689
11.05.2021;5214.815689
28.07.2021;5215.624022
28.07.2021;5217.240689
15.09.2021;5220.736339
30.09.2021;5224.068189
20.05.2021;5224.634522
20.05.2021;5225.214856
20.05.2021;5225.748189
12.05.2021;5226.473189
22.07.2021;5234.393689
22.05.2021;5235.328689
07.05.2021;5235.878689
27.05.2021;5236.533689
18.06.2021;5238.914689
12.05.2021;5240.914689
05.07.2021;5241.719689
20.05.2021;5242.319689
01.07.2021;5248.875922
09.06.2021;5250.875922
27.05.2021;5251.409256
28.05.2021;5253.696756
27.05.2021;5254.696756
15.06.2021;5257.671756
25.08.2021;5258.480089
25.08.2021;5260.096756
28.07.2021;5260.855039
28.07.2021;5262.371606
26.05.2021;5264.038272
20.05.2021;5266.704939
27.07.2021;5269.567439
25.05.2021;5270.800772
26.05.2021;5272.342439
31.05.2021;5273.954939
28.05.2021;5274.954939
27.05.2021;5275.486939
11.06.2021;5276.047439
11.06.2021;5286.547439
11.06.2021;5287.558439
09.06.2021;5288.558439
23.09.2021;5290.046772
27.05.2021;5291.371772
09.06.2021;5296.388439
27.05.2021;5298.388439
15.06.2021;5304.388439
09.06.2021;5308.696772
31.05.2021;5309.696772
11.06.2021;5311.195772
15.06.2021;5317.113272
16.06.2021;5322.863272
21.06.2021;5325.314106
21.06.2021;5327.397439
21.06.2021;5329.202439
21.06.2021;5330.765772
01.07.2021;5331.980472
15.09.2021;5337.563806
21.06.2021;5338.480472
21.06.2021;5339.397139
15.06.2021;5341.647139
15.06.2021;5347.230472
15.06.2021;5351.563806
15.06.2021;5356.730472
22.06.2021;5359.497139
14.07.2021;5360.830472
06.01.2022;5363.830472
28.06.2021;5364.880472
29.06.2021;5365.930472
28.06.2021;5366.980472
06.07.2021;5381.372672
15.07.2021;5409.157072
09.07.2021;5423.549272
14.09.2021;5451.333672
28.06.2021;5452.383672
28.06.2021;5453.433672
17.08.2021;5462.671639
06.09.2021;5478.328722
03.09.2021;5487.566689
01.10.2021;5503.223772
09.11.2021;5509.973772
02.09.2021;5519.211739
30.09.2021;5534.868822
05.07.2021;5541.072029
28.06.2021;5542.122029
14.07.2021;5542.699029
17.08.2021;5555.379362
27.09.2021;5561.078362
14.07.2021;5561.787612
14.07.2021;5562.512612
02.07.2021;5567.179279
14.07.2021;5567.726779
14.07.2021;5568.276779
30.06.2021;5571.887196
06.07.2021;5573.845529
06.07.2021;5575.326779
01.07.2021;5577.076779
22.06.2021;5581.160112
23.06.2021;5586.753446
21.06.2021;5592.336779
01.07.2021;5594.081779
23.07.2021;5603.990579
26.08.2021;5620.845579
08.02.2022;5626.428912
20.09.2021;5629.403912
08.02.2022;5634.987246
28.06.2021;5636.820579
02.07.2021;5637.542412
07.07.2021;5642.508412
02.07.2021;5649.095079
12.07.2021;5654.845079
06.07.2021;5655.323092
12.07.2021;5658.783192
13.07.2021;5660.454876
08.09.2021;5666.454876
07.09.2021;5672.204876
23.07.2021;5681.442842
28.08.2021;5697.099926
12.07.2021;5697.629426
06.07.2021;5699.629426
06.07.2021;5700.579426
11.01.2022;5709.817392
11.11.2021;5725.474476
14.07.2021;5739.866676
09.09.2021;5767.651076
06.09.2021;5782.043276
27.09.2021;5806.796076
12.08.2021;5808.266742
17.08.2021;5809.616742
13.07.2021;5810.186492
13.07.2021;5810.719826
07.07.2021;5812.319826
16.08.2021;5818.400159
28.09.2021;5821.899159
11.08.2021;5823.982492
12.07.2021;5824.582492
13.07.2021;5825.591742
09.07.2021;5834.925076
15.07.2021;5835.925076
13.07.2021;5840.018409
14.07.2021;5840.651742
15.07.2021;5841.838742
02.11.2021;5843.455409
26.08.2021;5846.455409
29.10.2021;5849.455409
29.07.2021;5851.027909
01.09.2021;5854.041242
14.02.2022;5856.274576
16.09.2021;5857.274576
06.10.2021;5858.274576
16.09.2021;5858.924576
20.09.2021;5859.799576
04.10.2021;5861.049576
22.07.2021;5873.049576
28.02.2022;5873.862076
04.01.2022;5875.075076
06.01.2022;5877.075076
06.01.2022;5878.275076
06.01.2022;5879.275076
16.09.2021;5879.925076
16.08.2021;5882.579826
05.01.2022;5883.529826
23.09.2021;5885.817326
23.09.2021;5888.104826
06.10.2021;5892.179826
30.09.2021;5895.341576
07.10.2021;5899.091576
26.07.2021;5901.216576
18.10.2021;5903.341576
29.09.2021;5910.591576
29.09.2021;5915.758242
26.07.2021;5916.758242
30.09.2021;5917.758242
30.07.2021;5918.472076
19.11.2021;5919.222076
13.08.2021;5919.880076
13.08.2021;5920.538409
19.11.2021;5921.205076
07.01.2022;5921.872742
07.01.2022;5922.540409
04.01.2022;5923.373742
17.09.2021;5924.915409
17.09.2021;5929.582076
17.09.2021;5931.332076
17.09.2021;5932.248742
12.08.2021;5933.359159
12.08.2021;5934.484159
12.08.2021;5935.400826
19.11.2021;5936.067492
13.08.2021;5936.650826
30.07.2021;5937.234159
27.10.2021;5937.785659
18.10.2021;5940.852326
18.10.2021;5943.185659
13.08.2021;5945.335659
30.07.2021;5945.858992
07.10.2021;5946.392326
30.07.2021;5946.908992
30.07.2021;5947.425659
19.08.2021;5956.758992
28.09.2021;5964.008992
